Name,Alias,Env Type,Cloud Platform,Account Type,Region,Display Name,Release Windows Count
ap-southeast-2-ing-prod-1,apse2-ing-prd-1,production,aws,global,ap-southeast-2,ap-southeast-2-ing-prod-1,12
ap-southeast-2-pdv-prod-1,apse2-pdv-prd-1,production,aws,global,ap-southeast-2,ap-southeast-2-pdv-prod-1,12
ap-southeast-2-pdv-prod-2,apse2-pdv-prd-2,production,aws,legacy-just-eat,ap-southeast-2,ap-southeast-2-pdv-prod-2,12
ap-southeast-2-pmt-prod-1,N/A,production,aws,legacy-just-eat,ap-southeast-2,ap-southeast-2-pmt-prod-1,12
ap-southeast-2-siam-prod-1,apse2-siam-prd-1,production,aws,legacy-just-eat,ap-southeast-2,ap-southeast-2-siam-prod-1,4
apse2-pdv-prd-3,apse2-pdv-prd-3,production,aws,global,ap-southeast-2,apse2-pdv-prd-3,12
assurance-services-production,as-prd,production,aws,legacy-just-eat,eu-west-1,assurance-services-production,5
au-data-01,au-data-01,production,aws,legacy-just-eat,ap-southeast-2,au-data-01,12
aus-production,aus-prd,production,aws,legacy-just-eat,ap-southeast-2,aus-production,12
Core-prod,N/A,production,aws,legacy-just-eat,us-west-2,Core-prod,12
Core-prodaus,prodaus,production,aws,legacy-just-eat,ap-southeast-2,Core-prodaus,12
Core-prodeu1,prodeu1,production,aws,legacy-just-eat,eu-central-1,Core-prodeu1,12
Core-produk,produk,production,aws,legacy-just-eat,eu-west-2,Core-produk,12
eu-central-1-ing-prod-1,euc1-ing-prd-1,production,aws,global,eu-central-1,eu-central-1-ing-prod-1,8
eu-central-1-pdv-prod-1,euc1-pdv-prd-1,production,aws,legacy-just-eat,eu-central-1,eu-central-1-pdv-prod-1,12
eu-central-1-pdv-prod-2,euc1-pdv-prd-2,production,aws,global,eu-central-1,eu-central-1-pdv-prod-2,8
eu-central-1-pmt-prod-1,N/A,production,aws,legacy-just-eat,eu-central-1,eu-central-1-pmt-prod-1,12
eu-central-1-siam-prod-1,euc1-siam-prd-1,production,aws,legacy-just-eat,eu-central-1,eu-central-1-siam-prod-1,4
eu-west-1-ing-prod-1,euw1-ing-prd-1,production,aws,global,eu-west-1,eu-west-1-ing-prod-1,8
eu-west-1-pdv-prod-1,euw1-pdv-prd-1,production,aws,global,eu-west-1,eu-west-1-pdv-prod-1,12
eu-west-1-siam-prod-1,euw1-siam-prd-1,production,aws,legacy-just-eat,eu-west-1,eu-west-1-siam-prod-1,4
eu-west-2-ing-prod-1,euw2-ing-prd-1,production,aws,global,eu-west-2,eu-west-2-ing-prod-1,12
eu-west-2-pdv-prod-1,euw2-pdv-prd-1,production,aws,legacy-just-eat,eu-west-2,eu-west-2-pdv-prod-1,12
eu-west-2-pmt-prod-1,N/A,production,aws,legacy-just-eat,eu-west-2,eu-west-2-pmt-prod-1,12
euw1-pdv-prd-5,euw1-pdv-prd-5,production,aws,global,eu-west-1,euw1-pdv-prd-5,8
euw1-pdv-prd-6,euw1-pdv-prd-6,production,aws,global,eu-west-1,euw1-pdv-prd-6,12
i18n-production,int-prd,production,aws,legacy-just-eat,eu-west-1,i18n-production,8
pe-prod-eu-west-1,pe-prod-euw1,production,aws,legacy-just-eat,eu-west-1,pe-prod-eu-west-1,8
production,uk-prd,production,aws,legacy-just-eat,eu-west-1,production,12
sre-eks-production-1,N/A,production,aws,legacy-takeaway,eu-west-1,sre-eks-production-1,8
us-west-2-ing-prod-1,usw2-ing-prd-1,production,aws,global,us-west-2,us-west-2-ing-prod-1,12
us-west-2-pdv-prod-1,usw2-pdv-prd-1,production,aws,legacy-just-eat,us-west-2,us-west-2-pdv-prod-1,12
us-west-2-pmt-prod-1,N/A,production,aws,legacy-just-eat,us-west-2,us-west-2-pmt-prod-1,12
usw2-pdv-prd-2,usw2-pdv-prd-2,production,aws,global,us-west-2,usw2-pdv-prd-2,12
